SesNumRegSt;EstSession;NumReg;NumSeg;
;"20020924_CAM.PV";4045975;1275;
;"20020924_CAVCMU";18917;18;
;"20020925.PROV";8231;7;
;"20020925_CAM";4101;1;
;"20020925_CAVCMU";18939;14;
;"20020926.PROV";19009;15;
;"20020926Ivan_CAVCMU";975;1;
;"20020926_CAM";21994;15;
;"20020926_CAVCMU";18964;14;
;"20020927_CAM";21965;2;
;"20020927_CAM.PV";4007407;2809;
;"20020927_CAVCMU";18973;11;
;"20020930.PROV";4289;2;
;"20020930_CAM";22034;15;
;"20020930_CAVCMU";19015;12;
;"20020930_CAVCMU.PV";4332116;2032;
;"20021001.PROV";1210;1;
;"20021001_CAVCMU";19029;8;
;"20021002_CAM";22041;11;
;"20021002_CAM.PV";4985;2;
;"20021002_CAM2";22043;12;
;"20021003_CAM";1617;1;
;"20021003_CAM.PV";4063102;1395;
;"20021004.PROV";1214;0;
;"20021004_CAM";22068;18;
;"20021007.PROV";18254;14;
;"20021007_CAM";22012;19;
;"20021007_CAVCMU";19099;14;
;"20021008.PROV";4043;2;
;"20021008_CAM";19607;17;
;"20021009_CAVCMU";19141;17;
;"20021010_CAM";22398;15;
;"20021010_CAVCMU";19183;16;
;"20021011_CAM";22432;18;
;"20021011_CAVCMU";19197;16;
;"20021011_CAVCMU.PV";4239273;3142;
;"20021014.PROV";18836;17;
;"20021014_CAM";3656;3;
;"20021014_CAM.PV";4144139;2857;
;"20021015.PROV";5988;4;
;"20021015_CAM";22433;17;
;"20021015_CAM.PV";1023844;653;
;"20021016.PROV";18645;7;
;"20021016_CAM";22443;14;
;"20021016_CAVCMU";19259;11;
;"20021017_AND";4438;2;
;"20021017_CAM";22447;14;
;"20021017_CAVCMU";19281;12;
;"20021018_CAM";22490;15;
;"20021018_CAVCMU";19295;12;
;"20021018_CAVCMU.PV";4392305;2973;
;"20021021.PROV";18648;4;
;"20021021_CAM";4459;4;
;"20021021_CAVCMU";19323;14;
;"20021022_CAM";22551;2;
;"20021022_CAM.PV";4059954;2017;
;"20021023_CAM";22530;7;
;"20021023_CAVCMU";19351;1;
;"20021023_CAVCMU.PV";4348451;1558;
;"20021024.PROV";7885;0;
;"borrameNPCAM";2654;1;
